id,name,ingredient,image,type
427115,板栗烧鸡腿,板栗、鸡腿、酱油、蚝油、白糖、生姜、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/14/20181114154214819790910878013.jpg?x-oss-process=style/f320x240,new
427114,糖醋里脊肉,里脊肉、白芝麻、料酒、香醋、白糖、生抽、清水、面糊。,https://i8.meishichina.com/attachment/recipe/2018/11/14/201811141542144377883920404188.jpg?x-oss-process=style/f320x240,new
427113,自制广式腊肠,猪肉、糖、高度白酒、生抽、白腐乳。,https://i8.meishichina.com/attachment/recipe/2018/11/14/201811141542143102510266491.jpg?x-oss-process=style/f320x240,new
427098,蓝莓芝士妙芙蛋糕,黄油、红糖、细砂糖、全蛋、牛奶、低筋面粉、泡打粉、冷冻蓝莓、葡萄干、奶油奶酪、金宝、蔓越莓干、低粉、杏仁粉、细砂糖、盐、黄油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154211941194710602320.jpg?x-oss-process=style/f320x240,new
427077,五花肉炒西葫芦,西葫芦、五花肉、青椒、小红辣椒、葱、姜、郫县豆瓣酱、生抽、糖、植物油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154211242134510224823.jpg?x-oss-process=style/f320x240,new
426330,老式面包,面包粉、低筋面粉、细砂糖、耐高糖酵母、鸡蛋液、黄油、奶粉、盐、水。,https://i8.meishichina.com/attachment/recipe/2018/11/08/2018110815416894328747601323220.JPG?x-oss-process=style/f320x240,new
427004,胡萝卜小炒肉,三线肉、胡萝卜、豆豉、姜、蒜、泡椒、郫县豆瓣。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421141774519012879.jpg?x-oss-process=style/f320x240,new
427084,韭菜鸡蛋馅饼,韭菜、鸡蛋、粉丝、面粉、温水、生抽、盐、食用油、香油、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154211467533010532740.jpg?x-oss-process=style/f320x240,new
427096,清汤菠菜丸子,猪前腿肉、菠菜、香葱、淀粉、蛋清、姜、精盐、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421165618717672208713.jpg?x-oss-process=style/f320x240,new
427095,糖醋萝卜皮,红皮萝卜、香菜、青蒜苗、精盐、白糖、陈醋。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421162155713632208713.jpg?x-oss-process=style/f320x240,new
427092,红豆连藕糯米粥,大米、糯米、红豆、莲藕。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421159350239332208713.jpg?x-oss-process=style/f320x240,new
426936,小黄鱼炖豆腐,小黄鱼、北豆腐、蒜、葱、姜、淀粉、油、盐、料酒、生抽。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421151317968451954.jpeg?x-oss-process=style/f320x240,new
427083,甜酸奶,鲜牛奶、乳酸菌、白糖、石榴。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421140825741806550.jpg?x-oss-process=style/f320x240,new
427082,发面饼,豆腐渣、小麦粉、油、盐、酵母粉。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421146829151456100832.jpg?x-oss-process=style/f320x240,new
427081,家熬鲫头鱼,鲫头鱼、油、盐、酱油、白糖、醋、料酒、面酱、葱、大料、面粉、姜、蒜。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421141880224876100832.jpg?x-oss-process=style/f320x240,new
426905,鱼香茄子,圆茄子、青椒、葱、姜、猪肉、生抽、醋、料酒、糖、郫县豆瓣酱、植物油、淀粉。,https://i8.meishichina.com/attachment/recipe/2018/11/12/20181112154203373538010224823.jpg?x-oss-process=style/f320x240,new
427072,玉米青豆鸡蛋干炒肉粒,玉米、青豆、鸡蛋干、猪瘦肉、淀粉、味极鲜、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154211073180510878013.jpg?x-oss-process=style/f320x240,new
426934,牙签牛肉,牛大腿肉、姜、蒜、大葱、辣椒油、花椒油、老干妈、料酒、白胡椒粉、盐、鸡精、白芝麻、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154206859720410471048.jpg?x-oss-process=style/f320x240,new
427066,蒜叶炒肉,蒜叶、猪瘦肉、淀粉、酱油、味极鲜、干辣椒、胡椒粉、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154210823113710878013.jpg?x-oss-process=style/f320x240,new
427058,里脊肉西兰花煮芋艿,里脊肉、芋艿、西兰花、盐、味精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542104939045632404188.JPG?x-oss-process=style/f320x240,new
427053,肘花火腿炒娃娃菜,肘花火腿、娃娃菜、酱油、盐、味精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542103823213626404188.JPG?x-oss-process=style/f320x240,new
427056,山楂卷,山楂、黄冰糖、水。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421038996231499199773.jpg?x-oss-process=style/f320x240,new
427048,炝炒山药豆,山药豆、干辣椒段、生姜、蒜头、蒜叶、酱油、蚝油、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154210291751110878013.jpg?x-oss-process=style/f320x240,new
427045,煮板栗,板栗、清水。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421019088821806550.jpg?x-oss-process=style/f320x240,new
427041,南瓜馅水煎包,普通面粉、清水、酵母、白砂糖、猪肉、老南瓜、清水、蚝油、盐、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542101067648204549055.JPG?x-oss-process=style/f320x240,new
427040,荠菜大米粥,荠菜、大米粥、玉米油、蒜末、八角、盐、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154210100877610449735.jpg?x-oss-process=style/f320x240,new
427043,糖醋心里美,心里美萝卜、白糖、苹果醋、食盐。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315421014215561806550.jpg?x-oss-process=style/f320x240,new
427036,荠菜煎饺,荠菜肉馅儿、饺子皮、玉米油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209988343910449735.jpg?x-oss-process=style/f320x240,new
427034,千层肉饼,普通面粉、温水、猪肉馅、葱花、蚝油、生抽、香油、白胡椒、糖、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420993689163127885543.JPG?x-oss-process=style/f320x240,new
427033,麻辣豆腐鱼,嫩豆腐、鲫鱼、豆瓣酱、花椒、干辣椒段、生姜、蒜头、蒜叶、味极鲜、胡椒粉、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209913475510878013.jpg?x-oss-process=style/f320x240,new
427035,脆皮肠芝麻小面包  ,金龙鱼面包用小麦粉、橄榄油、脆皮肠、鸡蛋、酵母、水、白砂糖、盐、白芝麻。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420998621297567773477.jpg?x-oss-process=style/f320x240,new
427032,荠菜豆腐汤,豆腐、荠菜、西红柿、盐、玉米油、蒜末、八角、生抽、香油。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209937465510449735.jpg?x-oss-process=style/f320x240,new
427030,香煎豆腐,豆腐、玉米油、烧烤料。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209840849210449735.jpg?x-oss-process=style/f320x240,new
426817,蚝油酱香豆腐,北豆腐、豆瓣酱、蚝油、生抽、生粉、鸡粉。,https://i8.meishichina.com/attachment/recipe/2018/11/12/2018111215420032847296619541848.jpg?x-oss-process=style/f320x240,new
427021,红油,辣椒面、植物油、紫草。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420943900149928.jpg?x-oss-process=style/f320x240,new
427026,卤猪蹄,猪蹄、老卤水。,https://i8.meishichina.com/attachment/recipe/2018/11/13/2018111315420958791909037209.jpg?x-oss-process=style/f320x240,new
427025,鸡块炖杏鲍菇,鸡块、杏鲍菇、葱、花椒、干红椒、姜、蒜、油、盐、生抽、老抽、白酒、黄豆酱。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209560135610667631.jpg?x-oss-process=style/f320x240,new
427022,熘白菜,白菜、葱、干红椒、姜、蒜、油、盐、醋、水淀粉、五香粉。,https://i8.meishichina.com/attachment/recipe/2018/11/13/20181113154209459730010667631.jpg?x-oss-process=style/f320x240,new
427017,杏仁巧克力面包,金龙鱼面包用小麦粉、纯牛奶、白糖、淡奶油、细盐、酵母、杏仁片。,https://i8.meishichina.com/attachment/recipe/2018/11/13/201811131542093086712512280145.jpg?x-oss-process=style/f320x240,new
