id,name,ingredient,image,main
425178,油饼,面粉、温水、油。,https://i8.meishichina.com/attachment/recipe/2018/11/01/201811011541045831689563830.jpg?x-oss-process=style/f320x240,main
426688,金沙咸蛋饭,咸鸭蛋、胡萝卜、玉米粒、葱花、冷米饭、鸡蛋、盐、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/11/20181111154191837595810454906.jpg?x-oss-process=style/f320x240,main
426668,烫面葱花饼,普通面粉、开水、鸡蛋、小葱、面粉、五香粉、盐、食用油。,https://i8.meishichina.com/attachment/recipe/2018/11/11/2018111115419026091452498402959.jpg?x-oss-process=style/f320x240,main
426625,鸡蛋抱饺,面粉、开水、凉水、白萝卜、虾皮、鸡蛋、植物油、香葱、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/10/201811101541854411103337513584.jpg?x-oss-process=style/f320x240,main
426554,黑豆渣花卷,面粉、豆渣、清水、酵母粉。,https://i8.meishichina.com/attachment/recipe/2018/11/10/2018111015418298042647345450.jpg?x-oss-process=style/f320x240,main
426621,生煎包,肉馅、茭白、胡萝卜、面粉、酱油、生抽、芝麻油、盐、干酵母、白糖、凉水、植物油、黑芝麻。,https://i8.meishichina.com/attachment/recipe/2018/11/10/2018111015418529758363977513584.jpg?x-oss-process=style/f320x240,main
426552,红枣粘糕,糯米粉、红枣、清水。,https://i8.meishichina.com/attachment/recipe/2018/11/10/2018111015418523759677345450.jpg?x-oss-process=style/f320x240,main
426608,糖三角,面粉、酵母、泡打粉、白糖、水、红糖。,https://i8.meishichina.com/attachment/recipe/2018/11/10/20181110154184854749510541710.jpg?x-oss-process=style/f320x240,main
426606,南瓜开花馒头,面粉、酵母、泡打粉、水、白糖、南瓜。,https://i8.meishichina.com/attachment/recipe/2018/11/10/20181110154184848868210541710.jpg?x-oss-process=style/f320x240,main
426604,小猪佩奇饭,米饭、北极贝、三文鱼、虾、香肠、柠檬、橘子。,https://i8.meishichina.com/attachment/recipe/2018/11/10/2018111015418455015057071275.jpg?x-oss-process=style/f320x240,main
426599,家常炒饭,米饭、香肠、鸡蛋、大酱。,https://i8.meishichina.com/attachment/recipe/2018/11/10/2018111015418434985347071275.jpg?x-oss-process=style/f320x240,main
426229,芹菜叶软饼,芹菜叶、面粉、鸡蛋、虾皮粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/2018110815416546999938880613.jpg?x-oss-process=style/f320x240,main
426566,茴香煎饺,茴香、猪肉馅、面粉、葱、盐、蚝油、酱油、香油、姜末。,https://i8.meishichina.com/attachment/recipe/2018/11/10/20181110154183334086110274398.jpg?x-oss-process=style/f320x240,main
426531,酸菜蛋炒饭,剩米饭、酸菜、鸡蛋、大蒜叶、辣椒粉、酱油、鸡精。,https://i8.meishichina.com/attachment/recipe/2018/11/10/20181110154182045173110878013.jpg?x-oss-process=style/f320x240,main
425891,发面椒盐油酥饼,面粉、酵母、植物油、清水、面粉、植物油、花椒粉、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/06/2018110615414705428281846401.jpg?x-oss-process=style/f320x240,main
426510,香葱锅饼,面粉、生粉、火腿、香葱。,https://i8.meishichina.com/attachment/recipe/2018/11/10/2018111015418103581516466968441.jpg?x-oss-process=style/f320x240,main
426512,韭菜鸡蛋卷,韭菜、鸡蛋、面粉、水。,https://i8.meishichina.com/attachment/recipe/2018/11/10/20181110154181080538579910340734.jpg?x-oss-process=style/f320x240,main
426477,炒糯米饭,糯米、腊肉、花生、蒜白、香菜、虾皮、香菇、麦豆、盐、鱼露、酱油、胡椒粉、鸡精、油。,https://i8.meishichina.com/attachment/recipe/2018/11/09/2018110915417713586997796837.jpg?x-oss-process=style/f320x240,main
426476,洋葱鸭腿饭,鸭腿、洋葱、胡萝卜丁、黄瓜丁、玉米油、生抽、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/09/20181109154176827885810454906.jpg?x-oss-process=style/f320x240,main
426452,南瓜紫薯糯米饼,糯米粉、粘米粉、南瓜泥、紫薯馅、植物油。,https://i8.meishichina.com/attachment/recipe/2018/11/09/2018110915417597567365377513584.jpg?x-oss-process=style/f320x240,main
426310,芹菜叶鸡蛋饼,鸡蛋、面粉、芹菜叶、水、盐、五香粉。,https://i8.meishichina.com/attachment/recipe/2018/11/08/20181108154168006510910667631.jpg?x-oss-process=style/f320x240,main
426436,牦牛肉青菜炒河粉,牦牛肉、河粉、青菜、鸡蛋、味极鲜、淀粉、酱油、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/09/20181109154175214979410878013.jpg?x-oss-process=style/f320x240,main
426432,东坡肉夹馍,东坡肉、面粉、酵母、彩椒、尖椒、小葱。,https://i8.meishichina.com/attachment/recipe/2018/11/09/201811091541750481415434527331.JPG?x-oss-process=style/f320x240,main
426427,白玉菇香肉饼,猪肉馅、剩面团、白玉菇、葱花、蚝油、白糖、生抽、料酒、五香粉。,https://i8.meishichina.com/attachment/recipe/2018/11/09/201811091541749946132830527331.JPG?x-oss-process=style/f320x240,main
426366,香辣土豆饼,土豆、青椒、面粉、干虾仁、孜然粉、食用油、盐。,https://i8.meishichina.com/attachment/recipe/2018/11/09/2018110915417306178419467773477.jpg?x-oss-process=style/f320x240,main
423097,秋葵虾仁火腿炒饭,白米饭、秋葵、火腿、干虾仁、香葱、芹菜、生抽、盐、油。。,https://i8.meishichina.com/attachment/recipe/2018/10/18/2018101815398514013426591561.jpg?x-oss-process=style/f320x240,main
421836,方便热干面,方便热干面、酸脆豆角、花生。,https://i8.meishichina.com/attachment/recipe/2018/10/26/20181026154051545827173334360.jpg?x-oss-process=style/f320x240,main
426322,豆腐皮包子,豆腐皮、猪绞肉、虾仁、胡萝卜、鲜香菇、蒜瓣、小葱、盐、生抽、料酒、蚝油、白胡椒粉、白砂糖、香油。,https://i8.meishichina.com/attachment/recipe/2018/11/08/2018110815416860873504319037726.jpg?x-oss-process=style/f320x240,main
426281,炒米饭,胡萝卜、洋葱、圆白菜、玉米粒、鸡蛋、米饭、油、盐、葱、姜。,https://i8.meishichina.com/attachment/recipe/2018/11/08/2018110815416692250626956100832.jpg?x-oss-process=style/f320x240,main
